person_id,state_abbr,state_name,region,puma,sex,age,race_ethnicity,hispanic_origin,education,occupation,industry,marital_status,household_relationship,presence_of_children,family_size,gave_birth_past_year,person_weight,anes_respondent_id,tipi_extraversion_anes,tipi_agreeableness_anes,tipi_conscientiousness_anes,tipi_emotional_stability_anes,tipi_openness_anes,moral_traditionalism_anes,egalitarianism_anes,opinion_strength_anes,party_id_7pt_anes,ideology_7pt_anes,religion_group_anes,religion_importance_anes,religion_attendance_anes,anes_match_distance,gss_respondent_id,social_trust_gss,usual_hours_worked_gss,general_happiness_gss,gss_match_distance,atus_respondent_id,wake_time_atus,atus_match_distance
2024HU1279190_1,TX,Texas,South,04904,Female,70,White alone,Not Spanish/Hispanic/Latino,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Widowed,Reference person,Females with no own children,1,N/A (less than 15 years/greater than 50 years/ male),136,134,4.5,7,4.5,6.5,4,2.25,3.25,3.3333333333333335,7,4,Roman Catholic,Important,Once or twice a month,0.00877192982456132,gss_2016_1973,Can trust people,33,Pretty happy,0.16666666666666663,20230504231440,05:00:00,0
2024HU0958925_1,AL,Alabama,South,00800,Male,89,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Widowed,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),79,177,5.5,6.5,6,6,5,1,4.5,3,7,6,Roman Catholic,Important,Every week,0.03289473684210531,gss_2022_2152,Can't be too careful,30,Not too happy,0.18421052631578938,20231111230049,04:15:00,0.008438818565400852
2024HU1215879_1,SC,South Carolina,South,01402,Male,75,White alone,Not Spanish/Hispanic/Latino,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),45,4815,3,4.5,5,4,4.5,3,3.5,1.3333333333333333,6,6,Evangelical Protestant,Important,Once or twice a month,0.006578947368421129,gss_2018_1675,Can trust people,16,Very happy,0.002192982456140413,20240909240886,07:30:00,0
2024HU1437840_1,CT,Connecticut,Northeast,20902,Female,28,White alone,Not Spanish/Hispanic/Latino,Master's degree,CMM-Other Mathematical Science Occupations,"PRF-Other Professional, Scientific, And Technical, Except Veterinary, Services",Never married or under 15 years old,Reference person,Females with no own children,1,No,227,3310,6,6,5.5,3,7,4.25,1.25,2,2,3,Not religious,Not important,Never,0.030701754385964897,gss_2016_654,Can't be too careful,40,Pretty happy,0.004385964912280715,20230302232365,12:00:00,0
2024HU1295491_2,CA,California,West,03767,Male,36,Hispanic or Latino (any race),Mexican,GED or alternative credential,TRN-Cleaners Of Vehicles And Equipment,SRV-Car Washes,Never married or under 15 years old,Opposite-sex unmarried partner,N/A (male/female under 16 years old/GQ),3,N/A (less than 15 years/greater than 50 years/ male),135,3209,4,4,4,4,4,3,2.75,2.6666666666666665,2,4,Roman Catholic,Important,A few times a year,0.037280701754386025,gss_2016_241,Can't be too careful,50,Pretty happy,0.002192982456140413,20240504240760,08:00:00,0.002109704641350185
2024HU0618975_1,WI,Wisconsin,Midwest,00200,Female,80,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Divorced,Reference person,Females with no own children,1,N/A (less than 15 years/greater than 50 years/ male),43,2504,3,7,7,5.5,6,3.5,1.75,1,1,3,Undifferentiated Christian,Important,A few times a year,0.06140350877192979,gss_2022_2714,Can trust people,58,Pretty happy,0.010964912280701733,20230908231484,07:00:00,0
2024GQ0160293_1,NC,North Carolina,South,00700,Male,18,White alone,Not Spanish/Hispanic/Latino,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Never married or under 15 years old,Noninstitutionalized group quarters population,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),28,2714,2,2.5,6.5,6.5,4,3,2,3.3333333333333335,4,4,Not religious,Not important,Never,0.002192982456140413,gss_2018_667,Can trust people,89,Pretty happy,0.03508771929824561,20231110230219,07:30:00,0.002109704641350185
2024HU0982906_1,WA,Washington,West,22500,Male,44,Hispanic or Latino (any race),Mexican,"1 or more years of college credit, no degree",RPR-Industrial And Refractory Machinery Mechanics,TRN-Warehousing And Storage,Never married or under 15 years old,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),350,3451,3.5,4.5,4.5,4.5,3,3,3,3.6666666666666665,1,4,Not religious,Not important,Never,0.013157894736842146,gss_2024_302,Can't be too careful,40,Not too happy,0.021929824561403577,20240805241708,06:00:00,0.008438818565400852
2024HU0214350_1,AZ,Arizona,West,00134,Female,46,White alone,Not Spanish/Hispanic/Latino,Master's degree,MGR-Medical And Health Services Managers,MED-Outpatient Care Centers,Married,Reference person,Females with own children 6 to 17 years only,5,No,131,3828,3.5,6,5.5,6,6.5,1.5,3.25,2.6666666666666665,7,6,Not religious,Not important,Never,0.00877192982456132,gss_2022_3124,Can trust people,60,Pretty happy,0,20230504232349,07:00:00,0
2024HU0392867_2,NJ,New Jersey,Northeast,01503,Female,37,Asian alone,Not Spanish/Hispanic/Latino,Bachelor's degree,SCI-Biological Scientists,"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",Married,Opposite-sex husband/wife/spouse,Females with own children 6 to 17 years only,6,No,109,678,5,4,4,3,4,2.75,2.5,5,1,5,Other religion,Important,Every week,0.030701754385964897,gss_2016_43,Can't be too careful,6,Pretty happy,0.06798245614035092,20230403230697,06:00:00,0.002109704641350185
2024HU1363866_1,VA,Virginia,South,10701,Female,53,Asian alone,Not Spanish/Hispanic/Latino,Bachelor's degree,MED-Registered Nurses,"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",Married,Reference person,Females with own children 6 to 17 years only,4,N/A (less than 15 years/greater than 50 years/ male),51,3847,3,5,6,4,4,2.75,2.75,2.6666666666666665,2,3,Other religion,Not important,Never,0.17105263157894735,gss_2024_2101,Can't be too careful,40,Not too happy,0.002192982456140413,20240504242318,06:30:00,0.010548523206751148
2024HU1358383_1,MA,Massachusetts,Northeast,01002,Female,61,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,EAT-First-Line Supervisors Of Food Preparation And Serving Workers,"MED-Residential Care Facilities, Except Skilled Nursing Facilities",Divorced,Reference person,Females with no own children,2,N/A (less than 15 years/greater than 50 years/ male),325,3627,2.5,5,5.5,6.5,3.5,2.75,2.75,2,5,5,Not religious,Not important,Never,0.16666666666666663,gss_2018_41,Can trust people,30,Pretty happy,0.00877192982456132,20230112220896,07:30:00,0.0042194092827004814
2024HU1254879_2,MI,Michigan,Midwest,02200,Female,67,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,EDU-Elementary And Middle School Teachers,EDU-Elementary And Secondary Schools,Married,Opposite-sex husband/wife/spouse,Females with no own children,2,N/A (less than 15 years/greater than 50 years/ male),21,4780,2.5,6,6,5.5,2.5,3,2.5,2.6666666666666665,4,4,Mainline Protestant,Important,Almost every week,0.006578947368421129,gss_2018_1799,Can trust people,40,Very happy,0.00877192982456132,20230404231450,09:00:00,0
2024GQ0174062_1,AZ,Arizona,West,00805,Male,36,Hispanic or Latino (any race),Mexican,Grade 8,CON-Construction Laborers,CON-Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction),Never married or under 15 years old,Institutionalized group quarters population,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),41,1005,5,6,6,7,6,3.25,2.75,2.3333333333333335,4,5,Not religious,Important,Never,0.002192982456140413,gss_2016_540,Can't be too careful,40,Pretty happy,0.01754385964912275,20240909241860,07:00:00,0
2024HU0807438_1,VA,Virginia,South,06900,Female,59,White alone,Not Spanish/Hispanic/Latino,Doctorate degree,"BUS-Business Operations Specialists, All Other",MED-Other Health Care Services,Never married or under 15 years old,Reference person,Females with no own children,1,N/A (less than 15 years/greater than 50 years/ male),402,4510,6.5,3.5,6.5,5,6,1.5,3.5,4.333333333333333,7,6,Undifferentiated Christian,Important,Every week,0.03508771929824561,gss_2016_1253,Can't be too careful,12,Pretty happy,0.037280701754386025,20240605241466,05:20:00,0.002109704641350185
2024HU0932187_1,CA,California,West,03745,Male,32,Hispanic or Latino (any race),Mexican,"1 or more years of college credit, no degree",CLN-Landscaping And Groundskeeping Workers,PRF-Landscaping Services,Married,Reference person,N/A (male/female under 16 years old/GQ),6,N/A (less than 15 years/greater than 50 years/ male),120,455,4.5,5,6.5,6,6,3.75,3.25,2,7,6,Roman Catholic,Important,Never,0.06798245614035092,gss_2024_2868,Can't be too careful,50,Pretty happy,0.00877192982456132,20240705240537,11:00:00,0.006329113924050667
2024HU1459377_1,LA,Louisiana,South,00600,Female,52,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Reference person,Females with no own children,2,N/A (less than 15 years/greater than 50 years/ male),160,4513,5.5,6.5,7,6.5,6.5,5,1,1,1,2,Evangelical Protestant,Important,Almost every week,0.015350877192982448,gss_2018_2122,Can't be too careful,40,Pretty happy,0,20240403240510,05:00:00,0
2024HU0027257_2,AL,Alabama,South,02802,Female,20,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,OFF-Receptionists And Information Clerks,MED-Offices Of Optometrists,Never married or under 15 years old,Biological son or daughter,Females with no own children,3,No,51,3933,3.5,4,5,4,4.5,3.75,1.75,3,3,2,Not religious,Not important,Never,0.16666666666666663,gss_2018_1615,Can trust people,36,Very happy,0,20240111230203,09:00:00,0.002109704641350185
2024HU0574128_4,GA,Georgia,South,01404,Male,24,Asian alone,Not Spanish/Hispanic/Latino,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Never married or under 15 years old,Roommate or housemate,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),140,4401,4.5,5.5,5.5,4.5,4,3,3,3,2,2,Mainline Protestant,Not important,A few times a year,0.16885964912280704,gss_2016_2010,Can trust people,48,Pretty happy,0.010964912280701733,20230212221551,09:00:00,0.0042194092827004814
2024HU0627702_2,NC,North Carolina,South,03105,Female,43,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,MGR-Medical And Health Services Managers,MED-Other Health Care Services,Married,Opposite-sex husband/wife/spouse,Females with no own children,2,No,61,172,4,5.5,5,3.5,5.5,2.5,2.5,3.3333333333333335,7,5,Evangelical Protestant,Important,Almost every week,0.004385964912280715,gss_2016_2243,Can trust people,50,Very happy,0.004385964912280715,20240101241253,05:45:00,0
2024HU0401108_2,CA,California,West,06714,Female,37,White alone,Not Spanish/Hispanic/Latino,Master's degree,MGR-Other Managers,INF-Software Publishers,Separated,Opposite-sex unmarried partner,Females with no own children,1,No,76,377,7,6.5,6.5,6.5,7,4.75,1,4.666666666666667,3,1,Not religious,Not important,Never,0.16666666666666663,gss_2018_150,Can trust people,40,Very happy,0.04824561403508776,20230201231511,05:00:00,0.05696202531645567
2024HU0180250_2,MO,Missouri,Midwest,02600,Male,33,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,CON-Construction Laborers,CON-Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction),Married,Opposite-sex husband/wife/spouse,N/A (male/female under 16 years old/GQ),5,N/A (less than 15 years/greater than 50 years/ male),65,3058,6,5,7,7,6,2.75,4.25,1.6666666666666667,7,6,Evangelical Protestant,Important,Almost every week,0.01754385964912275,gss_2016_2231,Can't be too careful,45,Pretty happy,0,20241110241211,07:30:00,0
2024HU0664149_3,WA,Washington,West,20503,Female,23,Hispanic or Latino (any race),Panamanian,Bachelor's degree,EDU-Secondary School Teachers,EDU-Elementary And Secondary Schools,Never married or under 15 years old,Biological son or daughter,Females with no own children,4,No,161,4885,4,4.5,5,4.5,5.5,4,1.5,2.6666666666666665,4,4,Undifferentiated Christian,Important,Once or twice a month,0.16885964912280704,gss_2022_228,Can't be too careful,40,Pretty happy,0,20230504230137,08:00:00,0
2024HU0780563_3,NY,New York,Northeast,04401,Male,23,Hispanic or Latino (any race),Mexican,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Never married or under 15 years old,Brother or sister,N/A (male/female under 16 years old/GQ),5,N/A (less than 15 years/greater than 50 years/ male),85,916,3,5,4.5,5,6.5,4.25,2.75,2,2,2,Roman Catholic,Important,A few times a year,0.16666666666666663,gss_2022_959,Can't be too careful,43,Not too happy,0.16666666666666663,20240706240830,07:30:00,0.025316455696202556
2024HU0564496_3,AZ,Arizona,West,01901,Female,18,White alone,Not Spanish/Hispanic/Latino,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Never married or under 15 years old,Biological son or daughter,Females with no own children,4,No,920,215,4.5,4,5,5,4.5,2.5,3,4.333333333333333,5,4,Not religious,Not important,Never,0.006578947368421129,gss_2016_884,Can trust people,45,Pretty happy,0.019736842105263164,20230302232429,07:00:00,0.0042194092827004814
2024HU0608423_1,AZ,Arizona,West,00127,Male,62,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,SAL-First-Line Supervisors Of Retail Sales Workers,"RET-Warehouse Clubs, Supercenters, And Other General Merchandise Retailers",Never married or under 15 years old,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),62,4347,3,5,5,3.5,4.5,3.25,3,2.6666666666666665,6,5,Roman Catholic,Not important,Never,0.021929824561403577,gss_2018_1919,Can't be too careful,40,Pretty happy,0.004385964912280715,20231110231102,07:30:00,0.0042194092827004814
2024HU0610615_1,IL,Illinois,Midwest,03168,Female,36,Black or African American alone,Not Spanish/Hispanic/Latino,Regular high school diploma,TRN-Driver/Sales Workers And Truck Drivers,TRN-Couriers And Messengers,Never married or under 15 years old,Reference person,Females with own children under 6 years and 6 to 17 years,4,No,793,4003,6,6,6.5,6,6.5,3.25,1,3.3333333333333335,1,4,Undifferentiated Christian,Not important,Never,0.17105263157894735,gss_2016_829,Can't be too careful,62,Not too happy,0.004385964912280715,20230909231227,08:00:00,0.002109704641350185
2024HU0338691_1,MO,Missouri,Midwest,01905,Male,28,Two or more races,Not Spanish/Hispanic/Latino,Professional degree beyond a bachelor's degree,"LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers",PRF-Legal Services,Never married or under 15 years old,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),260,286,6.5,5,6,5,6.5,3,3,3.6666666666666665,7,6,Undifferentiated Christian,Important,A few times a year,0.16885964912280704,gss_2016_1291,Can't be too careful,20,Pretty happy,0.010964912280701733,20230807230665,08:00:00,0.025316455696202556
2024HU0793334_3,OH,Ohio,Midwest,00401,Female,20,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,EAT-Fast Food And Counter Workers,"ENT-Food Services And Drinking Places, Except Alcoholic Beverages",Never married or under 15 years old,Biological son or daughter,Females with no own children,3,No,50,3550,4,4,3.5,4.5,4.5,3,3,2,1,2,Roman Catholic,Not important,A few times a year,0.006578947368421129,gss_2022_419,Depends,35,Pretty happy,0.00877192982456132,20230604230118,10:30:00,0.002109704641350185
2024HU0766244_1,PA,Pennsylvania,Northeast,03115,Male,71,White alone,Not Spanish/Hispanic/Latino,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),99,29,4,5.5,6,5,6,4,1,4.666666666666667,3,2,Roman Catholic,Important,Never,0.004385964912280715,gss_2018_36,Can trust people,40,Very happy,0.013157894736842146,20240403241953,07:00:00,0
2024HU1154255_2,ND,North Dakota,Midwest,00500,Female,35,Hispanic or Latino (any race),Mexican,Grade 9,OFF-Customer Service Representatives,PRF-Computer Systems Design And Related Services,Married,Opposite-sex husband/wife/spouse,Females with own children under 6 years and 6 to 17 years,5,No,165,883,2,6,6,4.5,7,3,1,2.6666666666666665,2,2,Undifferentiated Christian,Not important,A few times a year,0.17105263157894735,gss_2018_2260,Can't be too careful,40,Very happy,0.16885964912280704,20240201240272,07:00:00,0.03164556962025322
2024HU0683669_2,TX,Texas,South,06301,Female,59,Hispanic or Latino (any race),Mexican,No schooling completed,EAT-Cooks,"ENT-Food Services And Drinking Places, Except Alcoholic Beverages",Married,Opposite-sex husband/wife/spouse,Females with no own children,5,N/A (less than 15 years/greater than 50 years/ male),143,3099,4,4.5,5.5,3,5,4,2.25,3,1,3,Not religious,Important,Never,0.16666666666666663,gss_2018_679,Can't be too careful,40,Not too happy,0.16666666666666663,20240605240553,07:00:00,0.006329113924050667
2024HU0709621_1,IL,Illinois,Midwest,03108,Male,76,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Widowed,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),518,2534,5,7,7,7,6,2.25,4,3,7,5,Roman Catholic,Important,Once or twice a month,0.002192982456140413,gss_2016_2726,Can trust people,10,Not too happy,0.16885964912280704,20240303241844,08:00:00,0.008438818565400852
2024HU0744635_2,TX,Texas,South,05000,Male,74,Hispanic or Latino (any race),All Other Spanish/Hispanic/Latino,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Divorced,Opposite-sex unmarried partner,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),31,303,6,4.5,5,5,6.5,3.5,2.75,2.3333333333333335,3,1,Roman Catholic,Important,Once or twice a month,0.17324561403508776,gss_2024_989,Can trust people,6,Very happy,0.1885964912280702,20230112222409,07:45:00,0.029535864978902926
2024HU0750605_2,SC,South Carolina,South,01600,Female,72,White alone,Not Spanish/Hispanic/Latino,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Divorced,Father or mother,Females with no own children,2,N/A (less than 15 years/greater than 50 years/ male),145,3587,6,5.5,7,3.5,4,1.5,2.5,2.3333333333333335,6,5,Mainline Protestant,Not important,Once or twice a month,0.021929824561403577,gss_2022_843,Can trust people,40,Not too happy,0.02412280701754399,20230706230756,07:00:00,0
2024GQ0118602_1,KY,Kentucky,South,02200,Female,19,White alone,Not Spanish/Hispanic/Latino,"1 or more years of college credit, no degree",SAL-Cashiers,RET-Clothing And Clothing Accessories Retailers,Never married or under 15 years old,Noninstitutionalized group quarters population,N/A (male/female under 16 years old/GQ),1,No,38,3235,2,6.5,6.5,6,3,4.5,2,1.3333333333333333,1,3,Not religious,Not important,Never,0.004385964912280715,gss_2022_2576,Depends,20,Pretty happy,0.002192982456140413,20240301240089,09:00:00,0
2024GQ0029025_1,CA,California,West,06525,Male,85,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Widowed,Institutionalized group quarters population,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),54,385,3,7,7,6.5,5,1,2.75,3,7,6,Evangelical Protestant,Important,Every week,0.006578947368421129,gss_2016_244,Can't be too careful,48,Very happy,0.0942982456140351,20230112221954,07:45:00,0
2024HU0229812_1,IL,Illinois,Midwest,17900,Male,46,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,PRT-Police Officers,"ADM-Justice, Public Order, And Safety Activities",Married,Reference person,N/A (male/female under 16 years old/GQ),6,N/A (less than 15 years/greater than 50 years/ male),93,4620,6.5,5,7,6.5,5,2.5,3.75,2.6666666666666665,5,5,Roman Catholic,Important,Never,0.004385964912280715,gss_2018_263,Can't be too careful,70,Very happy,0.002192982456140413,20241210242214,06:30:00,0
2024HU0653865_1,FL,Florida,South,07101,Male,80,White alone,Not Spanish/Hispanic/Latino,Doctorate degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Never married or under 15 years old,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),32,967,4,4.5,4.5,4,4.5,4,1,3.3333333333333335,2,2,Other religion,Not important,Never,0.06798245614035092,gss_2024_488,Can trust people,50,Pretty happy,0.08552631578947378,20240201241286,08:00:00,0.048523206751054815
