person_id,state_abbr,state_name,region,puma,sex,age,race_ethnicity,hispanic_origin,education,occupation,industry,marital_status,household_relationship,presence_of_children,family_size,gave_birth_past_year,person_weight,anes_respondent_id,tipi_extraversion_anes,tipi_agreeableness_anes,tipi_conscientiousness_anes,tipi_emotional_stability_anes,tipi_openness_anes,moral_traditionalism_anes,egalitarianism_anes,opinion_strength_anes,party_id_7pt_anes,ideology_7pt_anes,religion_group_anes,religion_importance_anes,religion_attendance_anes,anes_match_distance,gss_respondent_id,social_trust_gss,usual_hours_worked_gss,general_happiness_gss,gss_match_distance,atus_respondent_id,wake_time_atus,atus_match_distance,stance
2024HU1295491_2,CA,California,West,3767,Male,36,Hispanic or Latino (any race),Mexican,GED or alternative credential,TRN-Cleaners Of Vehicles And Equipment,SRV-Car Washes,Never married or under 15 years old,Opposite-sex unmarried partner,N/A (male/female under 16 years old/GQ),3,N/A (less than 15 years/greater than 50 years/ male),135,3209,4.0,4.0,4.0,4.0,4.0,3.0,2.75,2.6666666666666665,2,4,Roman Catholic,Important,A few times a year,0.037280701754386,gss_2016_241,Can't be too careful,50,Pretty happy,0.0021929824561404,20240504240760,08:00:00,0.0021097046413501,Standard
2024HU0618975_1,WI,Wisconsin,Midwest,200,Female,80,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Divorced,Reference person,Females with no own children,1,N/A (less than 15 years/greater than 50 years/ male),43,2504,3.0,7.0,7.0,5.5,6.0,3.5,1.75,1.0,1,3,Undifferentiated Christian,Important,A few times a year,0.0614035087719297,gss_2022_2714,Can trust people,58,Pretty happy,0.0109649122807017,20230908231484,07:00:00,0.0,Standard
2024GQ0160293_1,NC,North Carolina,South,700,Male,18,White alone,Not Spanish/Hispanic/Latino,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Never married or under 15 years old,Noninstitutionalized group quarters population,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),28,2714,2.0,2.5,6.5,6.5,4.0,3.0,2.0,3.333333333333333,4,4,Not religious,Not important,Never,0.0021929824561404,gss_2018_667,Can trust people,89,Pretty happy,0.0350877192982456,20231110230219,07:30:00,0.0021097046413501,DST
2024HU0982906_1,WA,Washington,West,22500,Male,44,Hispanic or Latino (any race),Mexican,"1 or more years of college credit, no degree",RPR-Industrial And Refractory Machinery Mechanics,TRN-Warehousing And Storage,Never married or under 15 years old,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),350,3451,3.5,4.5,4.5,4.5,3.0,3.0,3.0,3.6666666666666665,1,4,Not religious,Not important,Never,0.0131578947368421,gss_2024_302,Can't be too careful,40,Not too happy,0.0219298245614035,20240805241708,06:00:00,0.0084388185654008,Standard
2024HU0214350_1,AZ,Arizona,West,134,Female,46,White alone,Not Spanish/Hispanic/Latino,Master's degree,MGR-Medical And Health Services Managers,MED-Outpatient Care Centers,Married,Reference person,Females with own children 6 to 17 years only,5,No,131,3828,3.5,6.0,5.5,6.0,6.5,1.5,3.25,2.6666666666666665,7,6,Not religious,Not important,Never,0.0087719298245613,gss_2022_3124,Can trust people,60,Pretty happy,0.0,20230504232349,07:00:00,0.0,Standard
2024HU0392867_2,NJ,New Jersey,Northeast,1503,Female,37,Asian alone,Not Spanish/Hispanic/Latino,Bachelor's degree,SCI-Biological Scientists,"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",Married,Opposite-sex husband/wife/spouse,Females with own children 6 to 17 years only,6,No,109,678,5.0,4.0,4.0,3.0,4.0,2.75,2.5,5.0,1,5,Other religion,Important,Every week,0.0307017543859648,gss_2016_43,Can't be too careful,6,Pretty happy,0.0679824561403509,20230403230697,06:00:00,0.0021097046413501,Standard
2024HU1363866_1,VA,Virginia,South,10701,Female,53,Asian alone,Not Spanish/Hispanic/Latino,Bachelor's degree,MED-Registered Nurses,"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",Married,Reference person,Females with own children 6 to 17 years only,4,N/A (less than 15 years/greater than 50 years/ male),51,3847,3.0,5.0,6.0,4.0,4.0,2.75,2.75,2.6666666666666665,2,3,Other religion,Not important,Never,0.1710526315789473,gss_2024_2101,Can't be too careful,40,Not too happy,0.0021929824561404,20240504242318,06:30:00,0.0105485232067511,Standard
2024HU1358383_1,MA,Massachusetts,Northeast,1002,Female,61,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,EAT-First-Line Supervisors Of Food Preparation And Serving Workers,"MED-Residential Care Facilities, Except Skilled Nursing Facilities",Divorced,Reference person,Females with no own children,2,N/A (less than 15 years/greater than 50 years/ male),325,3627,2.5,5.0,5.5,6.5,3.5,2.75,2.75,2.0,5,5,Not religious,Not important,Never,0.1666666666666666,gss_2018_41,Can trust people,30,Pretty happy,0.0087719298245613,20230112220896,07:30:00,0.0042194092827004,Standard
2024HU1254879_2,MI,Michigan,Midwest,2200,Female,67,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,EDU-Elementary And Middle School Teachers,EDU-Elementary And Secondary Schools,Married,Opposite-sex husband/wife/spouse,Females with no own children,2,N/A (less than 15 years/greater than 50 years/ male),21,4780,2.5,6.0,6.0,5.5,2.5,3.0,2.5,2.6666666666666665,4,4,Mainline Protestant,Important,Almost every week,0.0065789473684211,gss_2018_1799,Can trust people,40,Very happy,0.0087719298245613,20230404231450,09:00:00,0.0,Standard
2024GQ0174062_1,AZ,Arizona,West,805,Male,36,Hispanic or Latino (any race),Mexican,Grade 8,CON-Construction Laborers,CON-Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction),Never married or under 15 years old,Institutionalized group quarters population,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),41,1005,5.0,6.0,6.0,7.0,6.0,3.25,2.75,2.333333333333333,4,5,Not religious,Important,Never,0.0021929824561404,gss_2016_540,Can't be too careful,40,Pretty happy,0.0175438596491227,20240909241860,07:00:00,0.0,Standard
2024HU0807438_1,VA,Virginia,South,6900,Female,59,White alone,Not Spanish/Hispanic/Latino,Doctorate degree,"BUS-Business Operations Specialists, All Other",MED-Other Health Care Services,Never married or under 15 years old,Reference person,Females with no own children,1,N/A (less than 15 years/greater than 50 years/ male),402,4510,6.5,3.5,6.5,5.0,6.0,1.5,3.5,4.333333333333333,7,6,Undifferentiated Christian,Important,Every week,0.0350877192982456,gss_2016_1253,Can't be too careful,12,Pretty happy,0.037280701754386,20240605241466,05:20:00,0.0021097046413501,Standard
2024HU0932187_1,CA,California,West,3745,Male,32,Hispanic or Latino (any race),Mexican,"1 or more years of college credit, no degree",CLN-Landscaping And Groundskeeping Workers,PRF-Landscaping Services,Married,Reference person,N/A (male/female under 16 years old/GQ),6,N/A (less than 15 years/greater than 50 years/ male),120,455,4.5,5.0,6.5,6.0,6.0,3.75,3.25,2.0,7,6,Roman Catholic,Important,Never,0.0679824561403509,gss_2024_2868,Can't be too careful,50,Pretty happy,0.0087719298245613,20240705240537,11:00:00,0.0063291139240506,DST
2024HU1459377_1,LA,Louisiana,South,600,Female,52,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Reference person,Females with no own children,2,N/A (less than 15 years/greater than 50 years/ male),160,4513,5.5,6.5,7.0,6.5,6.5,5.0,1.0,1.0,1,2,Evangelical Protestant,Important,Almost every week,0.0153508771929824,gss_2018_2122,Can't be too careful,40,Pretty happy,0.0,20240403240510,05:00:00,0.0,Standard
2024HU0027257_2,AL,Alabama,South,2802,Female,20,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,OFF-Receptionists And Information Clerks,MED-Offices Of Optometrists,Never married or under 15 years old,Biological son or daughter,Females with no own children,3,No,51,3933,3.5,4.0,5.0,4.0,4.5,3.75,1.75,3.0,3,2,Not religious,Not important,Never,0.1666666666666666,gss_2018_1615,Can trust people,36,Very happy,0.0,20240111230203,09:00:00,0.0021097046413501,DST
2024HU0574128_4,GA,Georgia,South,1404,Male,24,Asian alone,Not Spanish/Hispanic/Latino,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Never married or under 15 years old,Roommate or housemate,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),140,4401,4.5,5.5,5.5,4.5,4.0,3.0,3.0,3.0,2,2,Mainline Protestant,Not important,A few times a year,0.168859649122807,gss_2016_2010,Can trust people,48,Pretty happy,0.0109649122807017,20230212221551,09:00:00,0.0042194092827004,Standard
2024HU0627702_2,NC,North Carolina,South,3105,Female,43,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,MGR-Medical And Health Services Managers,MED-Other Health Care Services,Married,Opposite-sex husband/wife/spouse,Females with no own children,2,No,61,172,4.0,5.5,5.0,3.5,5.5,2.5,2.5,3.333333333333333,7,5,Evangelical Protestant,Important,Almost every week,0.0043859649122807,gss_2016_2243,Can trust people,50,Very happy,0.0043859649122807,20240101241253,05:45:00,0.0,Standard
2024HU0401108_2,CA,California,West,6714,Female,37,White alone,Not Spanish/Hispanic/Latino,Master's degree,MGR-Other Managers,INF-Software Publishers,Separated,Opposite-sex unmarried partner,Females with no own children,1,No,76,377,7.0,6.5,6.5,6.5,7.0,4.75,1.0,4.666666666666667,3,1,Not religious,Not important,Never,0.1666666666666666,gss_2018_150,Can trust people,40,Very happy,0.0482456140350877,20230201231511,05:00:00,0.0569620253164556,DST
2024HU0180250_2,MO,Missouri,Midwest,2600,Male,33,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,CON-Construction Laborers,CON-Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction),Married,Opposite-sex husband/wife/spouse,N/A (male/female under 16 years old/GQ),5,N/A (less than 15 years/greater than 50 years/ male),65,3058,6.0,5.0,7.0,7.0,6.0,2.75,4.25,1.6666666666666667,7,6,Evangelical Protestant,Important,Almost every week,0.0175438596491227,gss_2016_2231,Can't be too careful,45,Pretty happy,0.0,20241110241211,07:30:00,0.0,Standard
2024HU0664149_3,WA,Washington,West,20503,Female,23,Hispanic or Latino (any race),Panamanian,Bachelor's degree,EDU-Secondary School Teachers,EDU-Elementary And Secondary Schools,Never married or under 15 years old,Biological son or daughter,Females with no own children,4,No,161,4885,4.0,4.5,5.0,4.5,5.5,4.0,1.5,2.6666666666666665,4,4,Undifferentiated Christian,Important,Once or twice a month,0.168859649122807,gss_2022_228,Can't be too careful,40,Pretty happy,0.0,20230504230137,08:00:00,0.0,Standard
2024HU0780563_3,NY,New York,Northeast,4401,Male,23,Hispanic or Latino (any race),Mexican,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Never married or under 15 years old,Brother or sister,N/A (male/female under 16 years old/GQ),5,N/A (less than 15 years/greater than 50 years/ male),85,916,3.0,5.0,4.5,5.0,6.5,4.25,2.75,2.0,2,2,Roman Catholic,Important,A few times a year,0.1666666666666666,gss_2022_959,Can't be too careful,43,Not too happy,0.1666666666666666,20240706240830,07:30:00,0.0253164556962025,DST
2024HU0564496_3,AZ,Arizona,West,1901,Female,18,White alone,Not Spanish/Hispanic/Latino,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Never married or under 15 years old,Biological son or daughter,Females with no own children,4,No,920,215,4.5,4.0,5.0,5.0,4.5,2.5,3.0,4.333333333333333,5,4,Not religious,Not important,Never,0.0065789473684211,gss_2016_884,Can trust people,45,Pretty happy,0.0197368421052631,20230302232429,07:00:00,0.0042194092827004,DST
2024HU0608423_1,AZ,Arizona,West,127,Male,62,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,SAL-First-Line Supervisors Of Retail Sales Workers,"RET-Warehouse Clubs, Supercenters, And Other General Merchandise Retailers",Never married or under 15 years old,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),62,4347,3.0,5.0,5.0,3.5,4.5,3.25,3.0,2.6666666666666665,6,5,Roman Catholic,Not important,Never,0.0219298245614035,gss_2018_1919,Can't be too careful,40,Pretty happy,0.0043859649122807,20231110231102,07:30:00,0.0042194092827004,Standard
2024HU0610615_1,IL,Illinois,Midwest,3168,Female,36,Black or African American alone,Not Spanish/Hispanic/Latino,Regular high school diploma,TRN-Driver/Sales Workers And Truck Drivers,TRN-Couriers And Messengers,Never married or under 15 years old,Reference person,Females with own children under 6 years and 6 to 17 years,4,No,793,4003,6.0,6.0,6.5,6.0,6.5,3.25,1.0,3.333333333333333,1,4,Undifferentiated Christian,Not important,Never,0.1710526315789473,gss_2016_829,Can't be too careful,62,Not too happy,0.0043859649122807,20230909231227,08:00:00,0.0021097046413501,DST
2024HU0338691_1,MO,Missouri,Midwest,1905,Male,28,Two or more races,Not Spanish/Hispanic/Latino,Professional degree beyond a bachelor's degree,"LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers",PRF-Legal Services,Never married or under 15 years old,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),260,286,6.5,5.0,6.0,5.0,6.5,3.0,3.0,3.6666666666666665,7,6,Undifferentiated Christian,Important,A few times a year,0.168859649122807,gss_2016_1291,Can't be too careful,20,Pretty happy,0.0109649122807017,20230807230665,08:00:00,0.0253164556962025,Standard
2024HU0793334_3,OH,Ohio,Midwest,401,Female,20,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,EAT-Fast Food And Counter Workers,"ENT-Food Services And Drinking Places, Except Alcoholic Beverages",Never married or under 15 years old,Biological son or daughter,Females with no own children,3,No,50,3550,4.0,4.0,3.5,4.5,4.5,3.0,3.0,2.0,1,2,Roman Catholic,Not important,A few times a year,0.0065789473684211,gss_2022_419,Depends,35,Pretty happy,0.0087719298245613,20230604230118,10:30:00,0.0021097046413501,DST
2024HU0766244_1,PA,Pennsylvania,Northeast,3115,Male,71,White alone,Not Spanish/Hispanic/Latino,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),99,29,4.0,5.5,6.0,5.0,6.0,4.0,1.0,4.666666666666667,3,2,Roman Catholic,Important,Never,0.0043859649122807,gss_2018_36,Can trust people,40,Very happy,0.0131578947368421,20240403241953,07:00:00,0.0,Standard
2024HU1154255_2,ND,North Dakota,Midwest,500,Female,35,Hispanic or Latino (any race),Mexican,Grade 9,OFF-Customer Service Representatives,PRF-Computer Systems Design And Related Services,Married,Opposite-sex husband/wife/spouse,Females with own children under 6 years and 6 to 17 years,5,No,165,883,2.0,6.0,6.0,4.5,7.0,3.0,1.0,2.6666666666666665,2,2,Undifferentiated Christian,Not important,A few times a year,0.1710526315789473,gss_2018_2260,Can't be too careful,40,Very happy,0.168859649122807,20240201240272,07:00:00,0.0316455696202532,DST
2024HU0683669_2,TX,Texas,South,6301,Female,59,Hispanic or Latino (any race),Mexican,No schooling completed,EAT-Cooks,"ENT-Food Services And Drinking Places, Except Alcoholic Beverages",Married,Opposite-sex husband/wife/spouse,Females with no own children,5,N/A (less than 15 years/greater than 50 years/ male),143,3099,4.0,4.5,5.5,3.0,5.0,4.0,2.25,3.0,1,3,Not religious,Important,Never,0.1666666666666666,gss_2018_679,Can't be too careful,40,Not too happy,0.1666666666666666,20240605240553,07:00:00,0.0063291139240506,Standard
2024HU0709621_1,IL,Illinois,Midwest,3108,Male,76,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Widowed,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),518,2534,5.0,7.0,7.0,7.0,6.0,2.25,4.0,3.0,7,5,Roman Catholic,Important,Once or twice a month,0.0021929824561404,gss_2016_2726,Can trust people,10,Not too happy,0.168859649122807,20240303241844,08:00:00,0.0084388185654008,Standard
2024HU0744635_2,TX,Texas,South,5000,Male,74,Hispanic or Latino (any race),All Other Spanish/Hispanic/Latino,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Divorced,Opposite-sex unmarried partner,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),31,303,6.0,4.5,5.0,5.0,6.5,3.5,2.75,2.333333333333333,3,1,Roman Catholic,Important,Once or twice a month,0.1732456140350877,gss_2024_989,Can trust people,6,Very happy,0.1885964912280702,20230112222409,07:45:00,0.0295358649789029,Standard
2024HU0750605_2,SC,South Carolina,South,1600,Female,72,White alone,Not Spanish/Hispanic/Latino,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Divorced,Father or mother,Females with no own children,2,N/A (less than 15 years/greater than 50 years/ male),145,3587,6.0,5.5,7.0,3.5,4.0,1.5,2.5,2.333333333333333,6,5,Mainline Protestant,Not important,Once or twice a month,0.0219298245614035,gss_2022_843,Can trust people,40,Not too happy,0.0241228070175439,20230706230756,07:00:00,0.0,DST
2024GQ0118602_1,KY,Kentucky,South,2200,Female,19,White alone,Not Spanish/Hispanic/Latino,"1 or more years of college credit, no degree",SAL-Cashiers,RET-Clothing And Clothing Accessories Retailers,Never married or under 15 years old,Noninstitutionalized group quarters population,N/A (male/female under 16 years old/GQ),1,No,38,3235,2.0,6.5,6.5,6.0,3.0,4.5,2.0,1.3333333333333333,1,3,Not religious,Not important,Never,0.0043859649122807,gss_2022_2576,Depends,20,Pretty happy,0.0021929824561404,20240301240089,09:00:00,0.0,DST
2024GQ0029025_1,CA,California,West,6525,Male,85,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Widowed,Institutionalized group quarters population,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),54,385,3.0,7.0,7.0,6.5,5.0,1.0,2.75,3.0,7,6,Evangelical Protestant,Important,Every week,0.0065789473684211,gss_2016_244,Can't be too careful,48,Very happy,0.0942982456140351,20230112221954,07:45:00,0.0,Standard
